original_filename,extension,detected_format,pixel_width,pixel_height,file_size_bytes,inferred_collection,inferred_product_name,inferred_model_number,inferred_finish,mapped_product_family_id,mapped_variant_id,normalized_destination_path,confidence,validation_note
"브리오/5.브리오BP휴지걸이(크롬).png",".png","png","1448","1086","790221","브리오","브리오BP 휴지걸이","","크롬","brio-bp-paper-holder","brio/brio-bp-toilet-paper-holder-chrome","/images/products/brio/brio-bp-toilet-paper-holder-chrome.png","confirmed-from-filename","제품 소유자가 별도 브리오BP 휴지걸이 제품의 크롬 이미지로 확인함."
"사코/1.사코수건걸이(블랙).jpg",".jpg","jpeg","6000","4000","2138523","사코","사코 수건걸이","","블랙","saco-towel-bar","saco/saco-towel-bar-black","/images/products/saco/saco-towel-bar-black.jpg","probable","제품과 마감이 일치하며 공식 표기 '사코'를 적용함."
"사코/2.사코휴지걸이(블랙).jpg",".jpg","jpeg","3134","3194","1320817","사코","사코 휴지걸이","","블랙","saco-paper-holder","saco/saco-toilet-paper-holder-black","/images/products/saco/saco-toilet-paper-holder-black.jpg","probable","제품과 마감이 일치하며 공식 표기 '사코'를 적용함."
"사코/3.사코수건걸이(크롬).jpg",".jpg","jpeg","6000","4000","2020577","사코","사코 수건걸이","","크롬","saco-towel-bar","saco/saco-towel-bar-chrome","/images/products/saco/saco-towel-bar-chrome.jpg","probable","제품과 마감이 일치하며 공식 표기 '사코'를 적용함."
"사코/4.사코휴지걸이(크롬).jpg",".jpg","jpeg","5304","5304","5090409","사코","사코 휴지걸이","","크롬","saco-paper-holder","saco/saco-toilet-paper-holder-chrome","/images/products/saco/saco-toilet-paper-holder-chrome.jpg","probable","제품과 마감이 일치하며 공식 표기 '사코'를 적용함."
"콩코드/1.콩코드수건걸이(사틴).jpg",".jpg","jpeg","5791","3786","2388721","콩코드","콩코드 수건걸이","","사틴","concord-towel-bar","concord/concord-towel-bar-satin","/images/products/concord/concord-towel-bar-satin.jpg","confirmed-from-filename","컬렉션, 제품 종류, 마감이 파일명과 제품 형상에서 일치함."
"콩코드/2.콩코드휴지걸이(사틴).jpg",".jpg","jpeg","5304","5304","4792181","콩코드","콩코드 휴지걸이","","사틴","concord-paper-holder","concord/concord-toilet-paper-holder-satin","/images/products/concord/concord-toilet-paper-holder-satin.jpg","confirmed-from-filename","파일명과 형상은 일치하나 브리오 사틴 휴지걸이 원본과 완전히 동일한 파일임."
"콩코드/3.콩코드수건걸이(크롬).jpg",".jpg","jpeg","6000","4000","2484617","콩코드","콩코드 수건걸이","","크롬","concord-towel-bar","concord/concord-towel-bar-chrome","/images/products/concord/concord-towel-bar-chrome.jpg","confirmed-from-filename","컬렉션, 제품 종류, 마감이 파일명과 제품 형상에서 일치함."
"콩코드/4.콩코드휴지걸이(크롬).jpg",".jpg","jpeg","5304","5304","5076268","콩코드","콩코드 휴지걸이","","크롬","concord-paper-holder","concord/concord-toilet-paper-holder-chrome","/images/products/concord/concord-toilet-paper-holder-chrome.jpg","confirmed-from-filename","파일명과 형상은 일치하나 브리오 크롬 휴지걸이 원본과 완전히 동일한 파일임."
"HG/HG01MS 슬라이드바(무광).png",".png","png","447","548","26604","HG 시리즈","슬라이드바","HG01MS","무광","hg01ms","hg/hg01ms-slide-bar-matte","/images/products/hg/hg01ms-slide-bar-matte.png","confirmed-from-filename","'무광'은 원본 파일명에서 확인되며 공식 마감 분류 확인 필요."
"HG/HG05 옷걸이(사틴).jpg",".jpg","jpeg","498","500","13392","HG 시리즈","옷걸이","HG05","사틴","hg05","hg/hg05-robe-hook-satin","/images/products/hg/hg05-robe-hook-satin.jpg","confirmed-from-filename","모델, 제품 종류, 마감이 파일명과 이미지 내 표기에서 일치함."
"HG/HG55S 슬리퍼걸이(사틴).jpg",".jpg","jpeg","795","530","22100","HG 시리즈","슬리퍼걸이","HG55S","사틴","hg55s","hg/hg55s-slipper-rack-satin","/images/products/hg/hg55s-slipper-rack-satin.jpg","confirmed-from-filename","모델, 제품 종류, 마감이 파일명과 이미지 내 표기에서 일치함."
"HG/HG100MS 코너선반(무광).jpg",".jpg","jpeg","498","500","14600","HG 시리즈","코너선반","HG100MS","무광","hg100ms","hg/hg100ms-corner-shelf-matte","/images/products/hg/hg100ms-corner-shelf-matte.jpg","confirmed-from-filename","'무광'은 원본 파일명에서 확인되며 공식 마감 분류 확인 필요."
"HG/HG110-1 매립휴지걸이(크롬).jpg",".jpg","jpeg","498","500","18143","HG 시리즈","매립휴지걸이","HG110-1","크롬","hg1101","hg/hg110-1-recessed-holder-chrome","/images/products/hg/hg110-1-recessed-holder-chrome.jpg","confirmed-from-filename","HG110C/S와 외형 및 구조가 달라 별도 제품 패밀리 유지가 타당해 보임."
"HG/HG110C 매립휴지걸이(크롬).png",".png","png","490","482","34540","HG 시리즈","매립휴지걸이","HG110C","크롬","hg110c","hg/hg110c-recessed-holder-chrome","/images/products/hg/hg110c-recessed-holder-chrome.png","confirmed-from-filename","HG110S와 형상은 유사하지만 모델 번호가 달라 별도 패밀리로 유지함."
"HG/HG110S 매립휴지걸이(사틴).png",".png","png","498","492","39759","HG 시리즈","매립휴지걸이","HG110S","사틴","hg110s","hg/hg110s-recessed-holder-satin","/images/products/hg/hg110s-recessed-holder-satin.png","confirmed-from-filename","HG110C와 형상은 유사하지만 모델 번호가 달라 별도 패밀리로 유지함."
"HG/HG112C 트레이겸용매립휴지(크롬).jpg",".jpg","jpeg","498","500","17420","HG 시리즈","트레이 겸용 매립휴지걸이","HG112C","크롬","hg112c","hg/hg112c-tray-recessed-holder-chrome","/images/products/hg/hg112c-tray-recessed-holder-chrome.jpg","confirmed-from-filename","HG112S와 형상은 유사하지만 모델 번호가 달라 별도 패밀리로 유지함."
"HG/HG112S 트레이겸용매립휴지(사틴).png",".png","png","498","500","46448","HG 시리즈","트레이 겸용 매립휴지걸이","HG112S","사틴","hg112s","hg/hg112s-tray-recessed-holder-satin","/images/products/hg/hg112s-tray-recessed-holder-satin.png","confirmed-from-filename","HG112C와 형상은 유사하지만 모델 번호가 달라 별도 패밀리로 유지함."
"HG/HG120 일단휴지걸이.jpg",".jpg","jpeg","498","500","14382","HG 시리즈","일단휴지걸이","HG120","크롬","hg120","hg/hg120-single-paper-holder-chrome","/images/products/hg/hg120-single-paper-holder.jpg","probable","제품 소유자가 HG120의 마감을 크롬으로 확인함. 원본 파일명에는 마감 표기가 없음."
"HG/HG240 폰트레이매립휴지걸이.jpg",".jpg","jpeg","498","500","16743","HG 시리즈","폰&트레이 매립휴지걸이","HG240","크롬","hg240","hg/hg240-phone-tray-recessed-holder-chrome","/images/products/hg/hg240-phone-tray-recessed-holder.jpg","probable","제품 소유자가 제품명을 폰&트레이 매립휴지걸이로, 마감을 크롬으로 확인함."
"HG/HG392MS 고급형선반(무광).png",".png","png","541","364","81993","HG 시리즈","고급형선반","HG392MS","무광","hg392ms","hg/hg392ms-premium-shelf-matte","/images/products/hg/hg392ms-premium-shelf-matte.png","confirmed-from-filename","'무광'은 원본 파일명에서 확인됨. 이미지에는 치수 표기가 있으나 검증 전 사양 데이터로 전사하지 않음."
"HG/HG513 청소솔.png",".png","png","500","499","21700","HG 시리즈","청소솔","HG513","크롬","hg513","hg/hg513-cleaning-brush-chrome","/images/products/hg/hg513-cleaning-brush-chrome.png","probable","제품 소유자가 HG513의 기존 미확인 변형을 크롬 마감으로 확인함."
"HG/HG513 청소솔(사틴).png",".png","png","500","500","26153","HG 시리즈","청소솔","HG513","사틴","hg513","hg/hg513-cleaning-brush-satin","/images/products/hg/hg513-cleaning-brush-satin.png","confirmed-from-filename","사틴 마감은 파일명에서 확인됨."
"HG/HG820 이단수건선반(크롬).jpg",".jpg","png","598","388","28340","HG 시리즈","이단수건선반","HG820","크롬","hg820","hg/hg820-double-towel-shelf-chrome","/images/products/hg/hg820-double-towel-shelf-chrome.png","confirmed-from-filename","원본 확장자는 JPG이나 실제 파일 형식은 PNG임. 정규화 복사본은 PNG로 저장함."
"HG/HG822C 이단수건선반(크롬).jpg",".jpg","jpeg","598","388","13196","HG 시리즈","이단수건선반","HG822C","크롬","hg822c","hg/hg822-double-towel-shelf-chrome","/images/products/hg/hg822-double-towel-shelf-chrome.jpg","confirmed-from-filename","HG822C 크롬을 독립 제품으로 사용함."
"HG/HG822S 이단수건선반(사틴).jpg",".jpg","jpeg","600","395","13426","HG 시리즈","이단수건선반","HG822S","사틴","hg822s","hg/hg822-double-towel-shelf-satin","/images/products/hg/hg822-double-towel-shelf-satin.jpg","confirmed-from-filename","HG822S 사틴을 독립 제품으로 사용함."
"HG/HG999 면도경.jpg",".jpg","jpeg","498","500","14209","HG 시리즈","면도경","HG999","크롬","hg999","hg/hg999-shaving-mirror-chrome","/images/products/hg/hg999-shaving-mirror.jpg","probable","제품 소유자가 HG999의 마감을 크롬으로 확인함."
"HG/HG999-2 면도경(사틴).jpg",".jpg","jpeg","498","500","16235","HG 시리즈","면도경","HG999-2","사틴","hg9992","hg/hg999-2-shaving-mirror-satin","/images/products/hg/hg999-2-shaving-mirror-satin.jpg","confirmed-from-filename","HG999와 지지부 형상이 달라 별도 제품 패밀리로 유지함."
